Date,Price,Open,High,Low,Vol.,Change %
10/27/2020,295,297.8,297.8,293,120.03K,-1.01%
10/26/2020,298,295,298.8,294,140.69K,1.02%
10/23/2020,295,295,295,289.2,320.44K,0.00%
10/22/2020,295,284.8,295,281.2,801.19K,3.51%
10/21/2020,285,290,291,285,256.05K,-1.45%
10/20/2020,289.2,289.6,291.6,286,201.02K,-0.14%
10/19/2020,289.6,290,290,285,166.50K,-0.82%
10/16/2020,292,285.4,293.8,285.4,528.56K,2.31%
10/15/2020,285.4,283.8,286.8,281.8,257.37K,0.56%
10/14/2020,283.8,283.8,283.8,281.2,223.33K,-0.07%
10/13/2020,284,281,284,279.6,128.06K,1.07%
10/12/2020,281,274,284.6,273.8,364.56K,2.70%
