Egg Number,Width,Height,Egg Shape Index,Sphericity,Eccentricity,Sex
318,1020,752,0.737254902,0.5343080816,0.6756146901,0
319,1087,791,0.7276908924,0.5137827925,0.6859052159,0
320,1023,733,0.7165200391,0.4904827741,0.6975665083,0
321,1032,743,0.7199612403,0.4975836322,0.694014274,0
322,925,720,0.7783783784,0.6287978205,0.6277954285,1
323,1073,761,0.7092264678,0.4756566151,0.7049807212,0
324,1025,772,0.7531707317,0.5696643495,0.6578250899,0
325,1020,759,0.7441176471,0.5493682407,0.6680485965,0
326,995,792,0.7959798995,0.6724268386,0.6053230539,1
327,1095,759,0.6931506849,0.4440396041,0.7207927081,0
328,969,740,0.7636738906,0.5938305886,0.6456021908,0
329,1060,772,0.7283018868,0.5150780488,0.6852564204,0
330,1006,766,0.7614314115,0.5886146992,0.6482454825,0
331,1057,775,0.7332071902,0.5255558592,0.6800053061,0
332,1055,770,0.7298578199,0.5183863213,0.683598978,0
333,1012,753,0.7440711462,0.5492652551,0.6681003887,0
334,957,771,0.8056426332,0.6972139331,0.5924018463,1
335,1030,746,0.7242718447,0.5065747572,0.6895145358,0
336,1006,775,0.7703777336,0.6096069392,0.6375877568,1
337,1040,792,0.7615384615,0.588862995,0.6481197201,0
338,961,710,0.7388137357,0.5377044365,0.6739096853,0
339,1063,782,0.73565381,0.5308345751,0.6773577134,0
340,975,737,0.7558974359,0.5758738435,0.6546900537,0
341,979,758,0.7742594484,0.6188683577,0.6328683169,1
342,1004,793,0.7898406375,0.6569875809,0.6133121289,1
343,1078,831,0.7708719852,0.6107810095,0.6369900961,1
344,932,714,0.7660944206,0.5994950961,0.6427280441,1
345,1029,729,0.7084548105,0.4741057224,0.7057561771,0
346,953,764,0.8016789087,0.6869736992,0.5977549057,1
347,1021,751,0.735553379,0.5306171973,0.6774667716,0
348,1005,771,0.7671641791,0.6020099724,0.6414507949,1
349,1033,762,0.7376573088,0.5351834638,0.6751753067,0
350,955,754,0.7895287958,0.6562097207,0.6137135167,1
351,1040,763,0.7336538462,0.5265169206,0.6795233874,0
352,965,733,0.7595854922,0.5843441768,0.6504074723,0
353,1049,714,0.6806482364,0.4204427881,0.7326103864,0
354,1022,736,0.7201565558,0.4979887046,0.6938115992,0
355,1079,784,0.7265987025,0.5114728561,0.6870620973,0
356,1021,775,0.7590597453,0.5831316555,0.6510209697,0
357,1005,777,0.7731343284,0.6161743388,0.634242312,1
358,968,728,0.7520661157,0.5671615786,0.6590876707,0
359,1067,751,0.7038425492,0.4649061479,0.7103560135,0
360,1010,747,0.7396039604,0.5394316457,0.6730423328,0
361,979,769,0.7854954035,0.6462040575,0.6188674908,1
362,982,740,0.7535641548,0.5705575182,0.6573743717,0
363,1017,727,0.714847591,0.4870562385,0.6992802884,0
364,985,757,0.7685279188,0.605226149,0.6398162534,1
365,1010,733,0.7257425743,0.5096670287,0.6879663625,0
366,946,767,0.810782241,0.7106428965,0.5853478946,1
367,1072,762,0.7108208955,0.4788718349,0.703373055,0
368,1004,765,0.7619521912,0.5898232715,0.6476332745,0
369,963,733,0.7611630322,0.587992517,0.6485605896,0
370,950,743,0.7821052632,0.6378732091,0.623146337,1
371,1094,789,0.7212065814,0.5001701623,0.6927200495,0
372,978,718,0.7341513292,0.5275887241,0.6789858804,0
373,978,742,0.7586912065,0.5822827013,0.6514504226,0
374,1001,779,0.7782217782,0.6284183777,0.6279895412,1
375,1046,760,0.7265774379,0.5114279511,0.6870845849,0
376,1009,737,0.7304261645,0.519598276,0.6829916677,0
377,1046,766,0.7323135755,0.5236365971,0.6809675668,0
378,980,769,0.7846938776,0.6442278997,0.6198834717,1
379,1034,783,0.7572533849,0.5789784596,0.653121207,0
380,997,743,0.7452357071,0.5518482923,0.6668011254,0
381,1030,714,0.6932038835,0.4441418506,0.7207415458,0
382,998,767,0.7685370741,0.6052477792,0.639805256,1
383,1019,737,0.7232580962,0.5044506061,0.6905778206,0
384,1040,741,0.7125,0.4822734375,0.70167211,0
385,1048,778,0.7423664122,0.5454986494,0.6699941119,0
386,1003,770,0.7676969093,0.6032649774,0.6408131206,1
387,1023,736,0.7194525904,0.4965297543,0.6945415539,0
388,1043,756,0.7248322148,0.5077514798,0.688925439,0
389,1010,736,0.7287128713,0.5159505245,0.6848193566,0
390,972,755,0.7767489712,0.6248572263,0.6298103173,1
391,999,756,0.7567567568,0.5778400753,0.6536965742,0
392,1029,731,0.7103984451,0.4780185423,0.7037997224,0
393,979,768,0.784473953,0.6436863822,0.6201617668,1
394,921,723,0.7850162866,0.6450223125,0.6194751244,1
395,1030,749,0.727184466,0.5127108589,0.6864420969,0
396,1037,752,0.725168756,0.5084590588,0.6885711839,0
397,959,746,0.7778936392,0.6276237906,0.6283959628,1
