Egg Number,Width ,Height,Width conversion,Height Conversion,Eccentricity,Sex
330,1006,766,503,383,0.6482454825,0
331,1057,775,528.5,387.5,0.6800053061,0
332,1055,770,527.5,385,0.683598978,0
333,1012,753,506,376.5,0.6681003887,0
334,957,771,478.5,385.5,0.5924018463,1
335,1030,746,515,373,0.6895145358,0
336,1006,775,503,387.5,0.6375877568,1
337,1040,792,520,396,0.6481197201,0
338,961,710,480.5,355,0.6739096853,0
339,1063,782,531.5,391,0.6773577134,0
340,975,737,487.5,368.5,0.6546900537,0
341,979,758,489.5,379,0.6328683169,1
342,1004,793,502,396.5,0.6133121289,1
343,1078,831,539,415.5,0.6369900961,1
344,932,714,466,357,0.6427280441,1
345,1029,729,514.5,364.5,0.7057561771,0
346,953,764,476.5,382,0.5977549057,1
347,1021,751,510.5,375.5,0.6774667716,0
348,1005,771,502.5,385.5,0.6414507949,1
349,1033,762,516.5,381,0.6751753067,0
350,955,754,477.5,377,0.6137135167,1
351,1040,763,520,381.5,0.6795233874,0
352,965,733,482.5,366.5,0.6504074723,0
353,1049,714,524.5,357,0.7326103864,0
354,1022,736,511,368,0.6938115992,0
355,1079,784,539.5,392,0.6870620973,0
356,1021,775,510.5,387.5,0.6510209697,0
357,1005,777,502.5,388.5,0.634242312,1
358,968,728,484,364,0.6590876707,0
359,1067,751,533.5,375.5,0.7103560135,0
360,1010,747,505,373.5,0.6730423328,0
361,979,769,489.5,384.5,0.6188674908,1
362,982,740,491,370,0.6573743717,0
363,1017,727,508.5,363.5,0.6992802884,0
364,985,757,492.5,378.5,0.6398162534,1
365,1010,733,505,366.5,0.6879663625,0
366,946,767,473,383.5,0.5853478946,1
367,1072,762,536,381,0.703373055,0
368,1004,765,502,382.5,0.6476332745,0
369,963,733,481.5,366.5,0.6485605896,0
370,950,743,475,371.5,0.623146337,1
371,1094,789,547,394.5,0.6927200495,0
372,978,718,489,359,0.6789858804,0
373,978,742,489,371,0.6514504226,0
374,1001,779,500.5,389.5,0.6279895412,1
375,1046,760,523,380,0.6870845849,0
376,1009,737,504.5,368.5,0.6829916677,0
377,1046,766,523,383,0.6809675668,0
378,980,769,490,384.5,0.6198834717,1
379,1034,783,517,391.5,0.653121207,0
380,997,743,498.5,371.5,0.6668011254,0
381,1030,714,515,357,0.7207415458,0
382,998,767,499,383.5,0.639805256,1
383,1019,737,509.5,368.5,0.6905778206,0
384,1040,741,520,370.5,0.70167211,0
385,1048,778,524,389,0.6699941119,0
386,1003,770,501.5,385,0.6408131206,1
387,1023,736,511.5,368,0.6945415539,0
388,1043,756,521.5,378,0.688925439,0
389,1010,736,505,368,0.6848193566,0
390,972,755,486,377.5,0.6298103173,1
391,999,756,499.5,378,0.6536965742,0
392,1029,731,514.5,365.5,0.7037997224,0
393,979,768,489.5,384,0.6201617668,1
394,921,723,460.5,361.5,0.6194751244,1
395,1030,749,515,374.5,0.6864420969,0
396,1037,752,518.5,376,0.6885711839,0
397,959,746,479.5,373,0.6283959628,1
398,934,734,467,367,0.6183952496,1
399,1046,737,523,368.5,0.7096157183,0
400,968,740,484,370,0.6446678309,0
401,980,779,490,389.5,0.6067431372,1
402,988,728,494,364,0.6760648726,0
403,1103,744,551.5,372,0.7382528965,0
404,959,740,479.5,370,0.6360630094,1
405,990,776,495,388,0.6209648847,1
406,976,759,488,379.5,0.6286802089,1
407,1071,725,535.5,362.5,0.736040556,0
408,945,686,472.5,343,0.6877728913,0
409,984,760,492,380,0.6351878044,1
410,1035,749,517.5,374.5,0.6901445961,0
411,1016,761,508,380.5,0.6625521936,0
412,1024,752,512,376,0.6787439572,0
413,1030,736,515,368,0.6995709874,0
414,939,772,469.5,386,0.5692691487,1
415,1026,762,513,381,0.6696353314,0
416,1067,776,533.5,388,0.686348585,0
417,1002,712,501,356,0.7036175871,0
418,979,736,489.5,368,0.6594054119,0
419,1056,738,528,369,0.715254932,0
420,1017,711,508.5,355.5,0.7150091992,0
421,1000,734,500,367,0.6791494681,0
422,937,772,468.5,386,0.566726359,1
423,1029,732,514.5,366,0.702817437,0
424,994,746,497,373,0.6608670213,0
425,1025,757,512.5,378.5,0.6742134025,0
426,942,725,471,362.5,0.6384792153,1
427,1081,795,540.5,397.5,0.6776005341,0
428,1011,737,505.5,368.5,0.6845337101,0
429,959,753,479.5,376.5,0.6192512376,1
430,1027,776,513.5,388,0.65503466,0
431,1016,752,508,376,0.6724335687,0
432,974,735,487,367.5,0.6561619234,0
433,977,738,488.5,369,0.6552943885,0
434,1021,747,510.5,373.5,0.6816958807,0
435,1001,727,500.5,363.5,0.6874056114,0
436,1034,727,517,363.5,0.7110961495,0
437,973,748,486.5,374,0.6395416808,1
438,936,744,468,372,0.6067774137,1
439,1057,791,528.5,395.5,0.6633104119,0
440,985,744,492.5,372,0.6553446939,0
441,1003,764,501.5,382,0.6479124007,0
442,965,732,482.5,366,0.6516157431,0
443,1017,758,508.5,379,0.6666963966,0
444,979,734,489.5,367,0.6617272691,0
445,1037,787,518.5,393.5,0.6511839158,0
446,870,706,435,353,0.5843604004,1
447,1038,764,519,382,0.6769480183,0
448,1022,741,511,370.5,0.6886973633,0
449,936,764,468,382,0.5777139246,1
450,1037,750,518.5,375,0.6905966515,0
451,1064,727,532,363.5,0.7301651747,0
452,992,718,496,359,0.6900199772,0
453,1011,770,505.5,385,0.6480213662,0
454,941,749,470.5,374.5,0.6053469286,1
455,1061,742,530.5,371,0.714788935,0
456,1002,742,501,371,0.6720354654,0
457,979,725,489.5,362.5,0.6719995183,0
458,962,761,481,380.5,0.6117381923,1
459,1018,713,509,356.5,0.713757485,0
460,1009,748,504.5,374,0.6711428506,0
461,1067,797,533.5,398.5,0.6648756328,0
462,927,738,463.5,369,0.6051433803,1
463,1079,751,539.5,375.5,0.7180274079,0
464,1029,758,514.5,379,0.6762877906,0
465,1004,758,502,379,0.6557477253,0
466,1003,766,501.5,383,0.6455608079,0
467,1060,768,530,384,0.6892450506,0
468,1041,755,520.5,377.5,0.6884706857,0
469,1039,762,519.5,381,0.6798000519,0
470,953,757,476.5,378.5,0.6074816869,1
471,1098,766,549,383,0.7164562173,0
472,962,722,481,361,0.6608480189,0
473,1008,752,504,376,0.6659103798,0
474,1023,759,511.5,379.5,0.6704712803,0
475,1034,755,517,377.5,0.6832611588,0
476,1028,743,514,371.5,0.6910963447,0
477,1027,749,513.5,374.5,0.6841848213,0
478,986,733,493,366.5,0.6688385305,0
479,1031,769,515.5,384.5,0.6660828211,0
480,1042,755,521,377.5,0.6892031726,0
481,1032,779,516,389.5,0.6559032585,0
482,945,752,472.5,376,0.6056026504,1
483,1083,752,541.5,376,0.7196205793,0
484,1041,745,520.5,372.5,0.698450855,0
485,1029,745,514.5,372.5,0.689795891,0
486,1005,735,502.5,367.5,0.6820095319,0
487,1016,734,508,367,0.6914326295,0
488,1007,738,503.5,369,0.6803687927,0
489,1011,757,505.5,378.5,0.6628371374,0
490,944,769,472,384.5,0.5799969524,1
491,1084,731,542,365.5,0.7384079863,0
492,1011,758,505.5,379,0.6617181112,0
493,1049,775,524.5,387.5,0.6739259976,0
494,982,754,491,377,0.640664701,1
495,998,766,499,383,0.6410069548,1
496,1004,729,502,364.5,0.6875937421,0
497,1050,792,525,396,0.6565463131,0
498,985,750,492.5,375,0.6482573361,0
499,1076,710,538,355,0.7513962073,0
500,1025,741,512.5,370.5,0.6909245976,0
501,1040,758,520,379,0.6846775037,0
502,986,752,493,376,0.646778984,0
503,1057,750,528.5,375,0.7046497087,0
504,1083,781,541.5,390.5,0.6927841912,0
505,1019,748,509.5,374,0.6790921906,0
506,975,749,487.5,374.5,0.6402037808,1
507,1045,742,522.5,371,0.7041534315,0
508,979,733,489.5,366.5,0.662882787,0
509,994,746,497,373,0.6608670213,0
510,978,787,489,393.5,0.5936769449,1
511,1076,736,538,368,0.7294680649,0
512,1043,767,521.5,383.5,0.6776563622,0
513,978,750,489,375,0.6418010714,1
514,923,710,461.5,355,0.6389710664,1
515,1101,739,550.5,369.5,0.7412690675,0
516,1024,746,512,373,0.6850291849,0
517,1034,773,517,386.5,0.6641692907,0
518,954,742,477,371,0.6285393611,1
519,1107,794,553.5,397,0.6968119762,0
520,975,739,487.5,369.5,0.6523141428,0
521,1019,741,509.5,370.5,0.6864431062,0
522,951,722,475.5,361,0.6508564225,0
523,1040,767,520,383.5,0.675347133,0
524,1049,754,524.5,377,0.6952378105,0
525,1043,756,521.5,378,0.688925439,0
526,952,740,476,370,0.6291166242,1
527,1087,744,543.5,372,0.7290573423,0
528,983,737,491.5,368.5,0.6617260918,0
529,1009,750,504.5,375,0.6689468847,0
530,916,737,458,368.5,0.5938372941,1
531,1043,765,521.5,382.5,0.6797313532,0
532,990,732,495,366,0.6732730519,0
533,1019,729,509.5,364.5,0.6987076996,0
534,966,754,483,377,0.6251079576,1
535,1038,758,519,379,0.6831795035,0
536,1023,751,511.5,375.5,0.679024784,0
